squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,27.0,52.7,36.0,396.0,3240.0,55.0,37.0,4.0,7.0,64.0,4.0,1.53,1.03,2.56,1.42,2.44,56.3,51.1,35.0,1.56,0.97,2.54,1.42,2.39,36.0,36.0,3240.0,45.0,1.25,135.0,89.0,70.4,21.0,3.0,12.0,13.0,36.1,6.0,5.0,0.0,1.0,36.0,0.0,4.0,0.0,38.1,0.25,-6.9,-0.19,186.0,547.0,34.0,988.0,162.0,39.7,37.1,215.0,72.1,56.4,290.0,22.0,7.6,33.0,0.92,15.7,544.0,175.0,21.0,32.2,15.11,4.86,0.09,0.29,0.1,-1.3,-0.1,15222.0,18461.0,82.5,284657.0,83396.0,6497.0,7257.0,89.5,6603.0,7421.0,89.0,1842.0,3149.0,58.5,2.0,398.0,1082.0,330.0,74.0,1094.0,16922.0,1539.0,383.0,28.0,2364.0,475.0,409.0,188.0,133.0,21.0,15.0,13267.0,2155.0,3039.0,7757.0,8772.0,665.0,652.0,226.0,55.0,278.0,503.0,351.0,864.0,24.0,648.0,59.0,49.0,48.0,39.0,82.0,2.28,57.0,7.0,1.0,9.0,4.0,4.0,545.0,337.0,248.0,202.0,95.0,172.0,396.0,43.4,224.0,4512.0,1353.0,30.0,1308.0,1815.0,1389.0,503.0,134.0,0.0,369.0,459.0,603.0,12.0,22458.0,2319.0,7037.0,10391.0,6442.0,1023.0,20955.0,278.0,517.0,53.8,294.0,26.0,14837.0,78383.0,43565.0,1737.0,506.0,191.0,17430.0,15222.0,87.3,451.0,375.0,3.0,406.0,413.0,63.0,6.0,6.0,0.0,2982.0,520.0,624.0,45.5
Aston Villa,30.0,46.2,35.0,385.0,3150.0,46.0,38.0,3.0,3.0,78.0,2.0,1.31,1.09,2.4,1.23,2.31,41.4,39.3,31.5,1.18,0.9,2.08,1.12,2.02,35.0,35.0,3150.0,49.0,1.4,133.0,88.0,65.4,13.0,4.0,18.0,11.0,31.4,5.0,3.0,1.0,1.0,35.0,2.0,6.0,2.0,39.9,0.28,-7.1,-0.2,201.0,493.0,40.8,807.0,135.0,45.2,38.7,271.0,47.2,40.5,270.0,17.0,6.3,26.0,0.74,14.2,421.0,143.0,19.0,34.0,12.03,4.09,0.1,0.3,0.09,4.6,3.7,11380.0,14622.0,77.8,222447.0,78934.0,4646.0,5353.0,86.8,4838.0,5660.0,85.5,1680.0,3049.0,55.1,6.5,319.0,859.0,278.0,70.0,1039.0,12935.0,1687.0,486.0,33.0,2066.0,443.0,413.0,181.0,106.0,40.0,14.0,9605.0,1795.0,3222.0,4814.0,7907.0,609.0,661.0,198.0,42.0,288.0,446.0,347.0,667.0,19.06,477.0,69.0,32.0,31.0,46.0,74.0,2.11,48.0,7.0,7.0,8.0,4.0,0.0,629.0,370.0,311.0,242.0,76.0,234.0,549.0,42.6,315.0,5107.0,1421.0,27.8,1704.0,2243.0,1160.0,583.0,137.0,3.0,446.0,537.0,644.0,6.0,18706.0,2298.0,6477.0,8241.0,5063.0,837.0,17073.0,264.0,477.0,55.3,289.0,26.0,11485.0,59448.0,31793.0,1239.0,356.0,153.0,13607.0,11380.0,83.6,443.0,418.0,1.0,455.0,551.0,48.0,2.0,5.0,2.0,2759.0,545.0,579.0,48.5
Brentford,29.0,43.6,36.0,396.0,3240.0,43.0,30.0,6.0,6.0,58.0,2.0,1.19,0.83,2.03,1.03,1.86,45.1,40.5,30.8,1.25,0.86,2.11,1.13,1.98,36.0,36.0,3240.0,52.0,1.44,164.0,116.0,70.1,12.0,7.0,17.0,9.0,25.0,3.0,3.0,0.0,0.0,36.0,1.0,8.0,2.0,51.4,0.3,1.4,0.04,332.0,818.0,40.6,1250.0,166.0,50.8,40.8,280.0,65.4,48.5,354.0,21.0,5.9,39.0,1.08,15.2,409.0,128.0,9.0,31.3,11.36,3.56,0.09,0.29,0.1,-2.1,-3.5,10690.0,14818.0,72.1,215549.0,81214.0,4163.0,5047.0,82.5,4568.0,5746.0,79.5,1745.0,3364.0,51.9,-0.8,281.0,814.0,252.0,78.0,966.0,13146.0,1672.0,409.0,27.0,2158.0,359.0,404.0,153.0,79.0,43.0,16.0,8534.0,2191.0,4093.0,4473.0,7729.0,974.0,740.0,255.0,56.0,314.0,539.0,420.0,592.0,16.44,406.0,75.0,26.0,39.0,35.0,68.0,1.89,41.0,6.0,3.0,8.0,9.0,1.0,667.0,386.0,326.0,244.0,97.0,248.0,580.0,42.8,332.0,5328.0,1517.0,28.5,1899.0,2254.0,1175.0,583.0,122.0,3.0,461.0,561.0,845.0,12.0,19039.0,2858.0,7490.0,7943.0,4509.0,824.0,17401.0,214.0,406.0,52.7,231.0,26.0,10119.0,50140.0,26508.0,962.0,284.0,90.0,13654.0,10690.0,78.3,402.0,346.0,1.0,424.0,403.0,65.0,6.0,3.0,2.0,3332.0,785.0,791.0,49.8
Brighton,26.0,55.0,36.0,396.0,3240.0,36.0,26.0,4.0,7.0,69.0,2.0,1.0,0.72,1.72,0.89,1.61,42.1,36.8,26.1,1.17,0.73,1.89,1.02,1.75,36.0,36.0,3239.0,42.0,1.17,139.0,99.0,71.9,11.0,14.0,11.0,11.0,30.6,4.0,3.0,0.0,1.0,36.0,1.0,6.0,0.0,42.8,0.29,0.8,0.02,189.0,595.0,31.8,1249.0,157.0,35.4,37.2,223.0,68.6,54.0,300.0,37.0,12.3,30.0,0.83,13.9,450.0,127.0,15.0,28.2,12.5,3.53,0.07,0.25,0.08,-6.1,-4.8,15578.0,19327.0,80.6,304897.0,91436.0,6121.0,6953.0,88.0,6959.0,7931.0,87.7,2228.0,3682.0,60.5,-0.1,315.0,1060.0,318.0,79.0,1130.0,17714.0,1613.0,366.0,19.0,2674.0,545.0,460.0,194.0,77.0,91.0,6.0,13641.0,2255.0,3431.0,4758.0,12473.0,643.0,749.0,268.0,48.0,293.0,608.0,499.0,699.0,19.42,495.0,72.0,43.0,41.0,33.0,59.0,1.64,39.0,7.0,3.0,5.0,5.0,0.0,695.0,437.0,309.0,271.0,115.0,232.0,552.0,42.0,320.0,5379.0,1734.0,32.2,1704.0,2161.0,1514.0,612.0,159.0,3.0,453.0,540.0,702.0,13.0,23613.0,2692.0,8233.0,9989.0,6807.0,934.0,22022.0,315.0,547.0,57.6,338.0,30.0,15226.0,75986.0,40116.0,1526.0,458.0,141.0,18222.0,15578.0,85.5,440.0,425.0,0.0,451.0,417.0,52.0,4.0,4.0,0.0,3211.0,598.0,599.0,50.0
Burnley,23.0,40.0,35.0,385.0,3150.0,30.0,26.0,0.0,1.0,64.0,1.0,0.86,0.74,1.6,0.86,1.6,35.1,34.4,25.1,1.0,0.72,1.72,0.98,1.7,35.0,35.0,3150.0,49.0,1.4,152.0,105.0,69.7,7.0,13.0,15.0,9.0,25.7,3.0,3.0,0.0,0.0,35.0,1.0,8.0,2.0,47.3,0.3,0.3,0.01,316.0,832.0,38.0,786.0,132.0,73.5,53.0,274.0,92.7,65.9,358.0,33.0,9.2,61.0,1.74,18.3,375.0,109.0,13.0,29.1,10.71,3.11,0.08,0.28,0.09,-5.1,-4.4,8817.0,12908.0,68.3,183710.0,76301.0,3759.0,4600.0,81.7,3159.0,4130.0,76.5,1702.0,3558.0,47.8,0.9,249.0,747.0,230.0,83.0,809.0,11319.0,1589.0,344.0,23.0,2234.0,470.0,421.0,166.0,139.0,8.0,6.0,6346.0,2066.0,4496.0,3713.0,6613.0,882.0,721.0,223.0,87.0,300.0,402.0,420.0,529.0,15.11,358.0,65.0,21.0,31.0,43.0,53.0,1.51,35.0,7.0,5.0,2.0,4.0,0.0,586.0,339.0,272.0,236.0,78.0,211.0,529.0,39.9,318.0,5126.0,1400.0,27.3,1623.0,2211.0,1292.0,673.0,221.0,8.0,452.0,588.0,846.0,10.0,17035.0,2268.0,5625.0,7635.0,4606.0,673.0,15480.0,240.0,441.0,54.4,267.0,14.0,8825.0,44693.0,21555.0,843.0,320.0,79.0,11533.0,8817.0,76.5,409.0,297.0,0.0,432.0,364.0,94.0,1.0,2.0,2.0,3228.0,921.0,840.0,52.3
Chelsea,25.0,61.9,36.0,396.0,3240.0,72.0,49.0,8.0,9.0,59.0,1.0,2.0,1.36,3.36,1.78,3.14,63.2,56.7,43.3,1.76,1.2,2.96,1.57,2.78,36.0,36.0,3240.0,31.0,0.86,103.0,78.0,75.7,20.0,10.0,6.0,16.0,44.4,6.0,6.0,0.0,0.0,36.0,0.0,2.0,1.0,31.5,0.26,1.5,0.04,128.0,285.0,44.9,839.0,147.0,26.2,29.5,192.0,33.9,30.6,268.0,20.0,7.5,21.0,0.58,13.8,546.0,184.0,24.0,33.7,15.17,5.11,0.12,0.35,0.11,8.8,7.3,19457.0,22724.0,85.6,357088.0,107839.0,8356.0,9137.0,91.5,8548.0,9486.0,90.1,2200.0,3326.0,66.1,5.7,400.0,1444.0,417.0,63.0,1522.0,21139.0,1585.0,421.0,55.0,3107.0,425.0,469.0,232.0,101.0,99.0,6.0,17328.0,2397.0,2999.0,4889.0,15931.0,622.0,669.0,219.0,63.0,237.0,583.0,412.0,901.0,25.03,679.0,58.0,51.0,54.0,42.0,118.0,3.28,84.0,7.0,6.0,9.0,10.0,2.0,624.0,375.0,264.0,262.0,98.0,201.0,509.0,39.5,308.0,5257.0,1622.0,30.9,1594.0,2244.0,1419.0,538.0,110.0,5.0,428.0,539.0,716.0,13.0,26990.0,2325.0,7908.0,12993.0,7777.0,1122.0,25444.0,340.0,569.0,59.8,366.0,30.0,18691.0,89655.0,49318.0,2123.0,652.0,237.0,21980.0,19457.0,88.5,415.0,451.0,0.0,457.0,481.0,68.0,8.0,5.0,1.0,2990.0,595.0,531.0,52.8
Crystal Palace,24.0,51.1,35.0,385.0,3150.0,46.0,29.0,6.0,8.0,61.0,1.0,1.31,0.83,2.14,1.14,1.97,43.3,37.2,28.3,1.24,0.81,2.04,1.06,1.87,35.0,35.0,3150.0,42.0,1.2,127.0,90.0,69.3,10.0,14.0,11.0,11.0,31.4,4.0,3.0,1.0,0.0,35.0,2.0,11.0,2.0,36.5,0.26,-3.5,-0.1,180.0,423.0,42.6,909.0,184.0,34.5,32.6,241.0,45.2,37.3,271.0,21.0,7.7,20.0,0.57,14.3,375.0,129.0,13.0,34.4,10.71,3.69,0.11,0.31,0.1,2.7,2.8,13712.0,17251.0,79.5,269922.0,86241.0,5309.0,6067.0,87.5,6233.0,7202.0,86.5,1935.0,3359.0,57.6,0.7,268.0,857.0,265.0,81.0,960.0,15508.0,1743.0,483.0,20.0,2444.0,465.0,389.0,162.0,75.0,45.0,8.0,11512.0,2071.0,3668.0,4308.0,10697.0,695.0,775.0,265.0,57.0,298.0,513.0,393.0,586.0,16.74,422.0,46.0,32.0,33.0,34.0,71.0,2.03,51.0,2.0,6.0,5.0,5.0,2.0,653.0,389.0,324.0,246.0,83.0,214.0,488.0,43.9,274.0,5568.0,1666.0,29.9,1942.0,2428.0,1198.0,569.0,138.0,0.0,431.0,519.0,740.0,6.0,21653.0,2742.0,8185.0,9857.0,4872.0,792.0,19955.0,337.0,608.0,55.4,360.0,28.0,13697.0,67822.0,35133.0,1277.0,382.0,144.0,16153.0,13712.0,84.9,488.0,528.0,1.0,455.0,518.0,59.0,6.0,4.0,2.0,3089.0,695.0,621.0,52.8
Everton,32.0,40.3,35.0,385.0,3150.0,36.0,25.0,5.0,6.0,79.0,4.0,1.03,0.71,1.74,0.89,1.6,39.0,34.6,25.1,1.12,0.72,1.83,0.99,1.71,35.0,35.0,3150.0,56.0,1.6,165.0,114.0,66.7,10.0,6.0,19.0,8.0,22.9,1.0,1.0,0.0,0.0,35.0,2.0,11.0,4.0,51.6,0.31,-0.4,-0.01,267.0,799.0,33.4,849.0,110.0,68.3,52.0,270.0,81.1,63.4,296.0,21.0,7.1,22.0,0.63,14.8,404.0,115.0,17.0,28.5,11.54,3.29,0.08,0.27,0.09,-3.0,-3.6,9732.0,13403.0,72.6,192643.0,72075.0,4070.0,4804.0,84.7,3885.0,4862.0,79.9,1508.0,3046.0,49.5,-0.1,291.0,779.0,242.0,72.0,845.0,11769.0,1634.0,385.0,19.0,2391.0,377.0,381.0,150.0,74.0,54.0,4.0,7895.0,1916.0,3592.0,3353.0,7915.0,686.0,737.0,185.0,48.0,346.0,481.0,412.0,622.0,17.77,454.0,58.0,29.0,29.0,37.0,55.0,1.57,39.0,2.0,3.0,5.0,6.0,0.0,728.0,445.0,373.0,262.0,93.0,284.0,657.0,43.2,373.0,5897.0,1769.0,30.0,2044.0,2525.0,1328.0,630.0,149.0,2.0,481.0,562.0,753.0,9.0,17844.0,2286.0,6139.0,7726.0,4969.0,758.0,16255.0,289.0,534.0,54.1,319.0,29.0,10131.0,54920.0,28542.0,1112.0,350.0,136.0,12412.0,9732.0,78.4,445.0,406.0,2.0,419.0,432.0,50.0,6.0,1.0,4.0,3135.0,643.0,808.0,44.3
Leeds United,29.0,52.6,36.0,396.0,3240.0,39.0,25.0,4.0,4.0,97.0,3.0,1.08,0.69,1.78,0.97,1.67,43.8,40.8,29.0,1.22,0.81,2.02,1.13,1.94,36.0,36.0,3240.0,77.0,2.14,208.0,134.0,65.4,8.0,10.0,18.0,5.0,13.9,5.0,5.0,0.0,0.0,36.0,3.0,11.0,1.0,68.1,0.31,-7.9,-0.22,152.0,459.0,33.1,1038.0,248.0,33.6,32.1,270.0,40.7,37.3,236.0,21.0,8.9,34.0,0.94,14.7,453.0,133.0,12.0,29.4,12.58,3.69,0.08,0.26,0.09,-4.8,-5.8,13178.0,16937.0,77.8,255183.0,85172.0,5265.0,6069.0,86.8,5771.0,6735.0,85.7,1856.0,3370.0,55.1,-4.0,322.0,916.0,282.0,55.0,1200.0,15240.0,1697.0,401.0,24.0,2407.0,508.0,418.0,160.0,87.0,42.0,7.0,11133.0,2550.0,3254.0,6931.0,7954.0,637.0,754.0,343.0,53.0,353.0,611.0,450.0,669.0,18.58,473.0,60.0,36.0,46.0,34.0,56.0,1.56,31.0,2.0,7.0,8.0,4.0,4.0,828.0,454.0,429.0,304.0,95.0,363.0,840.0,43.2,477.0,6744.0,2004.0,29.7,2354.0,2930.0,1460.0,601.0,164.0,4.0,437.0,595.0,716.0,13.0,21433.0,2782.0,8607.0,9232.0,4938.0,808.0,19787.0,285.0,593.0,48.1,314.0,33.0,13216.0,70595.0,39078.0,1354.0,379.0,148.0,15849.0,13178.0,83.1,448.0,402.0,0.0,533.0,429.0,59.0,3.0,5.0,1.0,3157.0,523.0,612.0,46.1
Leicester City,27.0,52.5,35.0,385.0,3150.0,52.0,38.0,2.0,2.0,53.0,1.0,1.49,1.09,2.57,1.43,2.51,46.2,44.7,30.2,1.32,0.86,2.18,1.28,2.14,35.0,35.0,3150.0,56.0,1.6,168.0,118.0,70.2,12.0,9.0,14.0,7.0,20.0,9.0,6.0,2.0,1.0,35.0,1.0,15.0,1.0,54.5,0.29,-0.5,-0.01,242.0,555.0,43.6,911.0,141.0,45.7,38.8,274.0,50.7,43.7,262.0,17.0,6.5,16.0,0.46,12.5,408.0,148.0,14.0,36.3,11.66,4.23,0.12,0.34,0.11,5.8,5.3,14770.0,18224.0,81.0,278389.0,88190.0,6082.0,6857.0,88.7,6666.0,7579.0,88.0,1772.0,3110.0,57.0,7.8,278.0,894.0,244.0,45.0,1066.0,16531.0,1693.0,432.0,30.0,2876.0,427.0,320.0,179.0,97.0,47.0,8.0,13040.0,2070.0,3114.0,4483.0,11745.0,657.0,712.0,191.0,51.0,299.0,567.0,437.0,604.0,17.26,455.0,32.0,38.0,29.0,31.0,80.0,2.29,59.0,3.0,3.0,7.0,4.0,4.0,691.0,396.0,328.0,274.0,89.0,238.0,605.0,39.3,367.0,5433.0,1575.0,29.0,1833.0,2408.0,1192.0,584.0,151.0,4.0,433.0,506.0,743.0,13.0,22485.0,2674.0,8135.0,10622.0,4933.0,774.0,20843.0,267.0,514.0,51.9,298.0,24.0,14279.0,65692.0,34677.0,1335.0,399.0,138.0,17305.0,14770.0,85.4,430.0,409.0,0.0,427.0,462.0,56.0,1.0,8.0,1.0,2928.0,586.0,572.0,50.6
